iter;Initial storage utilization;Loading docks number;Unloading docks number;Forklifts number;palletTypesNum;Objective Value
183;1;5;4;20;7;94.346
184;0.2;5;1;38;14;73.693
185;0.4;5;5;12;2;84.004
186;0.6;7;2;34;10;122.509
187;0;7;1;12;2;50.887
188;0.2;6;4;17;3;102.66
189;0;7;1;14;2;50.922
190;0;2;2;43;8;67.044
191;0.9;4;4;22;1;88.652
192;0.1;4;1;23;15;68.741
193;0.5;1;4;37;5;67.275
194;0.6;1;2;38;16;66.411
195;0.7;7;4;19;15;95.82
196;0.6;7;4;25;3;109.959
197;0.9;5;4;38;9;96.449
198;0.7;4;5;42;7;79.451
199;0;1;1;27;10;65.565
200;0.1;2;2;23;14;79.266
201;0.1;5;2;11;5;77.842
202;0;7;1;13;2;51.407
203;0.3;6;2;21;12;100.364
204;0.9;6;4;43;14;97.935
205;1;3;2;41;11;67.731
206;0.8;6;4;27;9;109.548
207;0.5;3;2;32;5;76.199
208;0.1;4;5;30;6;91.905
209;1;3;2;10;2;101.148
210;0.4;2;3;16;15;83.728
211;0;5;1;19;4;56.656
212;0.4;6;5;22;14;96.265
213;0.7;6;3;35;1;107.788
214;0;6;1;20;3;56.22
215;0.5;3;4;41;16;72.689
216;0;6;1;15;2;50.969
217;0.3;5;4;26;16;102.174
218;0.6;5;3;36;15;95.295
219;0.9;1;1;27;10;66.292
220;0;7;1;16;2;50.255
221;0.5;5;4;41;2;87.381
222;0.8;4;1;37;11;72.629
223;1;5;2;34;4;91.341
224;0.7;5;1;30;3;88.679
225;0.1;1;4;24;11;71.93
226;0.3;6;2;21;7;89.426
227;0.9;6;1;31;12;104.402
228;0.4;4;1;43;4;68.923
229;0.9;4;5;14;14;100.769
230;0;7;3;38;1;56.419
231;0.7;4;3;31;5;86.475
232;0;1;5;14;6;79.618
233;0.8;5;3;21;10;96.09
234;0.1;2;5;43;15;68.077
235;0;5;3;32;6;98.501
236;0.3;1;2;21;6;65.46
237;0;7;4;40;8;119.987
238;0.9;5;4;11;2;84.675
239;0.6;5;2;24;9;118.687
240;0;7;3;31;1;57.36
241;1;2;4;26;11;68.112
242;0.6;3;5;14;7;92.064
243;0.3;6;5;44;5;105.645
244;0.7;2;1;25;14;65.725
245;0;1;4;44;4;64.02
246;0.6;6;1;41;11;91.24
247;0;2;4;23;6;93.217
248;0.6;5;3;12;11;95.618
249;0;7;2;16;1;53.205
250;0;7;2;30;1;51.868
251;0;7;1;31;1;45.047
252;0.1;6;4;43;16;105.83
253;0.5;4;5;21;3;94.937
254;0.4;1;2;32;11;64.202
255;0.4;6;5;18;10;91.443
256;0.5;3;1;15;13;91.249
257;0.4;3;1;24;8;77.627
258;0.8;3;3;44;7;66.856
259;0;7;3;16;1;63.862
260;1;5;3;24;3;93.458
261;0.8;3;4;36;15;71.035
262;0.5;4;5;10;12;84.831
263;0;5;1;27;2;54.683
264;0;4;1;36;10;59.471
265;0.3;5;2;39;14;85.015
266;0;7;1;29;1;45.663
267;1;2;3;23;5;71.508
268;0.1;3;5;40;1;74.282
269;0.3;4;3;30;14;89.697
270;0.3;7;3;43;8;119.847
271;0;4;3;32;1;59.089
